credit_score,loan_amount,annual_income,employment_years,debt_to_income,loan_purpose,default
706,18372.36,99929.89,5.8,0.13,debt_consolidation,0
696,24824.94,112561.02,2.2,0.424,home_improvement,0
813,27301.51,124076.75,19.7,0.543,home_improvement,1
591,38548.59,67350.84,23.7,0.367,debt_consolidation,1
706,3834.01,94743.99,10.6,0.268,business,0
765,40710.42,100688.64,24.4,0.265,home_improvement,0
582,34142.86,80214.33,23.1,0.157,business,0
518,6721.07,46398.4,17.1,0.301,auto,0
573,15321.7,25708.49,8.2,0.364,home_improvement,0
528,29538.65,80371.6,13.6,0.545,home_improvement,1
743,41654.57,41365.87,21.6,0.41,home_improvement,0
709,7347.78,39839.35,7.4,0.645,auto,1
606,39858.52,64888.31,12.5,0.19,medical,1
685,9995.93,34048.68,7.2,0.401,debt_consolidation,0
693,19161.34,127795.89,10.0,0.298,medical,0
592,39821.44,140379.52,18.0,0.289,auto,1
615,30094.64,63832.05,21.9,0.482,home_improvement,0
627,18492.85,79765.67,24.0,0.58,auto,0
631,4996.1,61628.72,17.1,0.242,auto,0
631,20529.64,61360.29,24.2,0.546,home_improvement,1
809,39096.39,102332.79,17.9,0.167,medical,0
676,2185.39,69411.15,7.4,0.56,home_improvement,0
633,30258.16,117877.02,21.7,0.189,medical,0
501,6830.28,91468.55,0.0,0.236,home_improvement,1
727,42122.94,57988.32,21.3,0.3,business,0
817,35018.04,128816.41,15.1,0.223,debt_consolidation,0
657,5249.57,28995.11,1.5,0.23,business,0
801,26721.24,49250.49,2.5,0.568,auto,0
588,13386.48,66132.1,21.9,0.591,auto,1
591,17473.08,50951.44,11.6,0.557,auto,1
745,26630.29,103231.44,22.9,0.449,debt_consolidation,0
735,24496.52,39358.42,19.9,0.093,debt_consolidation,0
772,13840.17,26500.76,8.0,0.207,home_improvement,0
524,19082.3,30969.54,12.8,0.383,medical,1
724,4472.78,121878.86,5.7,0.163,auto,0
641,30244.04,33830.67,23.0,0.515,home_improvement,0
773,5502.91,109734.28,18.1,0.545,home_improvement,0
516,34644.9,105826.52,4.2,0.573,home_improvement,1
812,8927.68,121646.85,22.3,0.536,auto,1
591,33770.54,43320.72,16.1,0.363,debt_consolidation,1
549,35658.85,148735.05,14.2,0.49,business,0
541,39686.75,45179.15,22.3,0.15,auto,1
660,27339.75,98043.0,0.5,0.619,home_improvement,0
646,36816.37,61966.49,3.1,0.306,debt_consolidation,1
583,28078.63,64665.74,8.4,0.246,debt_consolidation,1
638,28241.72,93497.05,17.3,0.061,medical,0
714,24027.71,137655.22,5.7,0.364,debt_consolidation,0
